Datetime,GB,BE,NO,FR,NL,DK,IE
2021-01-01,228.1961592108885,168.44734237398862,11.3207360159962,38.489254858684234,370.54859257773194,151.8670473474567,238.5491766632386
2021-02-01,225.19471980308944,141.98825544646257,11.208070650393422,38.38003671238073,370.5042258960309,151.52941704219958,224.92630553498853
2021-03-01,225.45452624849656,117.75384009582163,11.265093629761337,23.735064855579907,369.4177984593213,150.22186104715618,246.26047510681465
2021-04-01,204.56578275186453,113.53566959310243,11.293570831449252,11.574234188114495,369.04794155423065,151.40399810458143,253.8452126916865
2021-05-01,203.42264703622652,110.91066043031003,11.294931526695072,8.557242115053654,368.5590681578091,150.251508473902,249.5049676437215
2021-06-01,200.8788789230312,132.0499965508762,11.290578172126956,9.266005071640578,367.2449532281953,150.5246164505043,231.8552146246588
2021-07-01,200.80282492191387,130.85602196509453,11.272934595828053,23.592295168077307,367.77238028155745,148.7909200984804,257.8357226081093
2021-08-01,173.5370570276628,119.28716042519581,11.285202739204124,18.43965977233266,367.6178839809271,149.42212672101817,250.1984474030973
2021-09-01,170.71300991959487,132.90146231669945,11.270907652866812,23.44159036283848,367.9363217112484,146.19995176726746,242.76203886532343
2021-10-01,172.52528527232585,215.14901367251747,11.268920810893606,46.486990152531575,367.9404734613368,147.34181787467816,230.88179331994746
2021-11-01,194.10301877387926,243.1996171258585,11.2748899426317,55.308917726620365,367.767390346524,147.44701278281937,215.0042547815857
2021-12-01,192.06708336062502,178.94183938602495,11.266701518924457,31.53180135507777,367.8288842562717,147.1427462773816,202.49550579315175
2022-01-01,199.07459255378578,141.39267623433352,11.272190488157355,23.683070355897996,367.78410580785203,147.47125402217807,198.4093087192796
2022-02-01,207.78667177864725,135.12576834577084,11.291160137099148,35.95119396160177,367.7770208379094,147.53607951222094,185.27342737387232
2022-03-01,209.04014529891776,128.75712193989875,11.281531387966902,23.38985943963946,367.603305350654,147.78877396337876,205.83635030454656
2022-04-01,187.86068762807287,105.59362926916664,11.27674409519765,2.1149719624967958,367.5440688652755,147.5602041954167,213.1611968830402
2022-05-01,184.95796269721856,102.0174418301812,11.276515702247641,0,367.4656941463035,147.78301524398074,208.96548513827616
2022-06-01,178.21145780501413,121.35948955925895,11.277246526731627,0.7716034497767836,367.2545859343193,147.73003063716354,191.95054221346138
2022-07-01,175.12856292364594,119.68891624395886,11.280211836705377,17.44534803337175,367.3393913749814,148.06834945289,217.01273249809287
2022-08-01,154.3648269106412,127.32428865420168,11.278149388095907,14.809595583128598,367.31456035886276,147.94462993973195,209.63643699827838
2022-09-01,153.8113100351256,137.83416197858887,11.280552846889226,14.471538161129182,367.3657308647386,148.58285764960286,202.46140854740588
2022-10-01,154.5042225832696,230.6284595100537,11.280887180068067,36.09758777477777,367.3663977737478,148.3547737982758,191.01441402339603
2022-11-01,177.25902418522458,257.93266912065496,11.27988293963039,45.410089533772386,367.3385895174494,148.33386800986437,175.74546606462803
2022-12-01,178.6946708813469,176.20508971130025,11.281260709880602,23.11897743967944,367.3484706433877,148.39438502057374,163.74358214538887
2023-01-01,183.73728346325478,158.44029958597739,11.280337016067607,24.997164246735352,367.341275572315,148.329052987214,159.8289481334365
2023-02-01,191.76721538510392,139.54895766039746,11.277148809623645,28.732086242033468,367.3401370809188,148.31618139427474,147.26549270648218
2023-03-01,194.4279688825687,121.49165885100773,11.278766319509309,14.734248000824508,367.312216794318,148.26607156902844,166.94653243730576
2023-04-01,172.30466992886107,110.69174230237145,11.279571125365928,0,367.302693524915,148.31139298439646,173.97540759814592
2023-05-01,167.96131151221647,107.7148525805474,11.279609531149887,0,367.2900914804787,148.26721239211733,169.94817904395924
2023-06-01,161.88810419995107,128.20729290302825,11.279486641380869,0,367.2561357012181,148.27771133261453,153.64741746866937
2023-07-01,159.09200583449635,126.83588425386007,11.278988113318691,12.789580241896935,367.2697782317256,148.2107505905663,177.67477418760618
2023-08-01,138.85023194192812,122.03924084032069,11.279334836070904,8.418635370367298,367.26578397516204,148.23521613792684,170.5919888964257
2023-09-01,137.74095786137056,134.60657116946481,11.27893079248407,11.762078808636744,367.2740148900552,148.1092684760844,163.71101977220474
2023-10-01,140.02211001997944,220.4420254404215,11.27887459596071,34.36665850173381,367.27412215783033,148.1542039583011,152.75213247592035
2023-11-01,160.91981997491217,248.25515153021757,11.279043399963102,43.340948025134054,367.269649250423,148.1583268086078,138.17486958801942
2023-12-01,162.18517978083284,177.97969599043986,11.278811813356771,20.02535310205672,367.27123864408617,148.14639409925252,126.75399073344238
2024-01-01,169.93643393077514,147.13673613963257,11.278967071525678,15.197596714565776,367.2700813098556,148.15927648236314,123.0368336031377
2024-02-01,176.33093373797257,136.6568725628209,11.279503072192014,24.815488670842868,367.2698981806561,148.16181534617075,111.13684583986803
2024-03-01,177.98279920994435,126.16745909410953,11.279231114616675,11.808006525153473,367.2654069833961,148.17170179734597,129.79838078653927
2024-04-01,159.4499408400033,107.34973308335603,11.279095816775508,0,367.2638750252416,148.16275990581428,136.48830406084014
2024-05-01,155.68623652497067,103.97534479001051,11.279089360569035,0,367.26184774953964,148.17147667339216,132.65380112826207
2024-06-01,149.12993356272818,123.71229835352615,11.279110019050943,0,367.2563850337248,148.16940496575492,117.17584814594217
2024-07-01,145.44406373734313,122.14200348604014,11.279193827202214,7.10576182145757,367.25857985882226,148.18262103442197,140.01399347238103
2024-08-01,126.23777300713171,125.44998894505679,11.279135538765741,3.9310953641750217,367.2579372655791,148.17779143067094,133.26653834393008
