Datetime,GB,BE,NO,FR,NL,DK,IE
2024-09-01,124.96961083729394,136.69640877511205,11.279203463753928,4.736434118984363,367.259261443086,148.2026642356798,126.72305354757617
2024-10-01,126.5390710715497,227.0126899396542,11.279212911346422,26.666394445735982,367.2592787000039,148.19378723569906,116.32791348523158
2024-11-01,145.86363010298493,254.50520396926325,11.279184532684699,35.87385464917863,367.2585591084912,148.19297292851482,102.55780150312138
2024-12-01,148.11618820995812,176.8238447239606,11.279223466236235,13.264559891458276,367.2588148074927,148.19532984106954,91.82325432967838
2025-01-01,154.85308295355418,154.39070540521817,11.279197364658478,13.060022803678109,367.25862861758395,148.19278536160073,88.34126980444684
2025-02-01,162.66534973429634,138.53038038358932,11.2791072569212,18.622070641661175,367.25859915603326,148.19228392609844,77.23911294711746
2025-03-01,164.6520572239451,123.10726154729262,11.279152975421633,4.931816023619859,367.2578766151009,148.19033141147818,94.67953265559508
2025-04-01,145.96600351498816,109.51100245729302,11.279175720678303,0,367.25763015296036,148.1920973745116,100.96937468908348
2025-05-01,141.28189210006673,106.39168036066704,11.279176806055203,0,367.2573040025767,148.19037587036877,97.36202023763055
2025-06-01,134.39598838888264,126.61661968039414,11.27917333308348,0,367.25642514722267,148.1907850079857,82.86420917758326
2025-07-01,130.5177622275192,125.17374774720854,11.279159243869826,2.130703283263209,367.2567782574806,148.1881751091472,104.29109944156642
2025-08-01,113.40928219364785,123.22168037114636,11.279169042882657,0,367.2566748752734,148.1891288231755,97.93807580715645
2025-09-01,112.58358656608848,135.33396016073334,11.279157623851049,0.686459036571307,367.2568879125071,148.18421752539837,91.79424912863426
2025-10-01,114.67556981942614,222.71860000600245,11.279156035600126,23.0815162458887,367.25689068884225,148.18597023373576,82.07322592437289
2025-11-01,133.14638050686375,250.4238364134141,11.279160806390125,32.12822364292891,367.25677491911136,148.18613101991096,69.28414823322876
2025-12-01,135.93597382722365,177.57451012508687,11.279154261201393,9.031990588665487,367.2568160566454,148.18566564689155,59.40069346510812
