Datetime,GB,AT,BE,DE,DK,ES,FI,FR,IE,IT,NIR,NL,NO,SE
2016-01-01,39.83981279316623,57.02095802133791,63.77580871072917,40.16214132570503,42.02461722840973,67.41260948089578,52.254921247106076,90.90530487642576,41.46845500023771,25.85172465467273,37.11855512026987,9.002505463490932,98.27428971095183,92.33543878109566
2016-02-01,38.86731209533256,70.00672109824195,66.2214007500888,44.48786821988658,45.2225956297613,73.97526087469181,59.01975893715799,92.30316544139505,36.957587100431155,31.299882534540263,34.558078810872324,8.971101217496106,97.88130476174778,93.30046051787953
2016-03-01,35.58174735410306,70.04330292782291,64.85623092918283,39.24010587179689,32.66861798995362,75.72692359653868,59.64082365301848,90.83202063560051,29.43085236737144,33.09984129940887,27.298311686636655,8.078636050228024,97.8471562938987,94.06098283106131
2016-04-01,38.82195434460417,79.67156550771391,67.7808043106026,40.814862006289715,44.05716933652234,79.63125573668037,62.62944985781015,93.46354812822288,25.895224769093318,40.02530938087926,26.510432947291463,8.771208925323707,97.6983392350276,95.58346848707932
2016-05-01,43.557821126654815,91.34762384312104,66.47985960220625,44.61369575634275,49.34547166849788,75.55249968551585,69.02305290936542,95.40702658927795,20.433857829079034,41.28515157462695,24.194056681848323,6.6312483074170645,97.58651692940703,96.70995404397819
2016-06-01,39.95752085061071,92.8836389840035,66.40626862299442,41.543844751470196,48.61923291947093,67.2017569577997,72.39928643173134,95.1924386303292,17.766304782195334,44.69098560396104,17.15661381335537,4.8334597416013425,97.58946111446456,97.22978895702558
2016-07-01,46.41700208432208,93.08085457145965,67.36993495715221,43.438372281647354,48.64243502123817,59.88774203159895,75.00666694512542,93.78805947929484,19.32879691169807,36.3410423793184,22.081872468501356,9.442979014297801,96.93594696899122,97.74061694831477
2016-08-01,47.879691636732815,93.26885967749082,68.06000160303662,44.51760876421093,52.83903788385441,61.872638670981125,72.52815511283139,93.10746778730605,27.28452389692387,38.06413490996299,30.83207720896705,9.901380140260418,96.95771913811059,98.03555534976827
2016-09-01,44.18943863377344,81.36436825840646,61.50939739878183,39.22275038748438,45.408125846868195,55.03320826021414,69.9923947360252,87.58892377397258,33.172386397230966,27.526323742890956,35.79292101914341,7.848946385171879,98.20977863320243,97.74195574927403
2016-10-01,37.222925263344095,70.43845903271371,46.633675919203895,36.14862670628864,44.4104864326879,50.29945891145111,58.25882844552909,86.28515628705014,26.43297057302656,25.394340677972753,28.599615453176046,8.312024426778777,98.02153459928013,94.68343427053098
2016-11-01,35.91157450851232,65.21205737993806,52.033999431665066,38.65770156911335,41.55550955876275,48.9299811205121,53.062968596236104,84.18747933398478,26.204445348893646,26.223357359496063,23.62741044514209,10.451054905421504,98.07384414199676,91.86998112967622
2016-12-01,37.49057532224079,57.50547848769902,54.43931900706712,37.98196199752887,44.59847183062256,46.99367826658525,56.36654208371915,84.55627430670914,33.71285306788532,22.909403916505273,42.25294547373773,9.909403377747603,98.0565237315978,92.18857224782248
2017-01-01,33.49499360824153,47.930448977532066,54.93846091953603,32.4129837016865,37.00532706566905,54.81093625225929,56.996879881284045,84.65945729436962,29.867548820471107,23.124531966886998,37.69844868789197,8.900937597493561,98.16508387757013,93.1199599173482
2017-02-01,41.440746396978895,53.04097452418814,59.456982096707655,38.90888914654967,44.61082913577016,63.02842068111164,53.222820869598095,86.2491993385239,39.3428969596684,25.18485986577354,44.95703968197406,11.598798747557133,98.10137844368205,92.51260412437803
2017-03-01,44.31353223062537,71.45793656209325,62.652349741623404,41.829549757468975,41.814572849018745,70.49513348004045,56.882931333981524,88.64731604348754,37.883907489185056,34.69113165633049,37.406976507337035,11.250135793776513,97.90193048478505,93.06049024003013
2017-04-01,45.46240013830713,79.44143200391483,50.676659433651636,44.37641553090789,50.827519877283365,69.40688302820558,60.030487645317535,90.98616224950744,25.39647729029649,35.53590308824663,35.16890810714259,9.615153324900566,97.85546308002466,94.0122498861284
2017-05-01,46.31549445372021,90.36444628040866,59.86411514058075,43.35859120783412,54.99319092294981,59.299499002641674,64.44913663783609,93.2445635651608,26.520153612968528,38.8250621572711,31.45607310333018,5.300499396412787,98.44212182146225,95.79998794999398
2017-06-01,52.50193721978044,83.30425026884384,68.55212782543046,49.399972313664634,73.67740048276016,51.04255025836846,71.31659535619373,93.19694534084043,33.444374603902915,35.78642702567164,38.937322406363144,6.269772875868779,97.92913886613736,97.0425064915833
2017-07-01,48.022357220969134,85.72659832197637,69.05468151764536,42.91362502581541,64.91036506808557,50.30259274012459,73.6515442803531,90.25196818459052,23.47780565828077,34.52515710241237,30.717686648427687,6.773114261955411,97.3051498820486,97.5602670493728
2017-08-01,50.43590438803576,87.58922085958041,68.93023601019944,46.43365110770868,62.2485005049597,54.92906596398351,74.9105201626941,93.40853047371608,24.113050083506046,33.96206354742424,32.45556278989088,10.32540002411857,97.3756256047885,97.37580041785048
2017-09-01,48.53386615909199,86.51180209248835,66.25481239451283,42.66905195637836,51.66454607253067,54.213424762339834,73.76334012006762,91.15815277136906,32.2663720423119,33.77156943704304,42.5644703984389,10.02867174473292,96.8154312722662,96.43503351304508
2017-10-01,49.53337272048642,75.69358609174942,57.60494288473688,51.33385315880532,61.71626917426527,47.473553492934094,67.07849522214006,85.53840368468117,37.06866835701573,26.15277901270615,51.83257865671103,13.869907498115705,97.21206296546752,94.83712393853826
2017-11-01,39.342351537975816,68.21074778053989,53.23364638117615,42.16694360981217,49.55610694281746,43.836209034413,67.23052988248398,83.8478330098692,32.364780405971224,21.928124924424285,42.350239230117076,10.5316168059421,97.73417995025078,93.92279085575626
