Datetime,GB,BE,NO,NL,FR,IE,DK,DE,NIR
2021-01-01,0.42122059123936306,0.500060285568772,0.9843986966725254,0.2654742863658953,0.9060602379943435,0.546931794758404,0.6096420531824378,0.5694284954533293,0.5454654825192672
2021-02-01,0.4715576148137854,0.5167998425022946,0.9817944810238523,0.26544337146713126,0.9094967818673174,0.654611101665839,0.62370109895679815,0.6400953654299627,0.5473657315397371
2021-03-01,0.4988054506018529,0.627698122844366,0.9740972399443616,0.26547361252161294,0.9386426145958484,0.58791892708056,0.6881921246233675,0.6797764212871507,0.5470107080016967
2021-04-01,0.4810783936160784,0.6874953890193682,0.9736869221032263,0.2654509955538162,0.963215490477199,0.5555358438817776,0.7094435290328386,0.6614620667225429,0.5462982742060005
2021-05-01,0.4559808005767511,0.7249438270734254,0.9796892478170753,0.26546948572131523,0.9695407760580427,0.4124002176426811,0.8287622715873257,0.6603372369507974,0.5450280049766154
2021-06-01,0.44339297897941,0.6814068043205184,0.9799264991831573,0.26545483527864944,0.9679904412996522,0.41311922590185746,0.9149669992020245,0.6630617514531527,0.5452568235439235
2021-07-01,0.43507484168061883,0.6270518338281755,0.9764014600738733,0.2654665693802152,0.9391277793515658,0.3945905055744522,0.8485848204803089,0.6081440560761874,0.5461202052017454
2021-08-01,0.5140258030820058,0.6449352767596231,0.9807566674830954,0.2654572062271024,0.9471209843712695,0.5231285078593244,0.7841730731537122,0.6058498699128226,0.5473286132047956
2021-09-01,0.5231625279220488,0.6147496213238272,0.9835708500716138,0.26546468717015587,0.9346907999835653,0.5267072032439454,0.8336421205566007,0.6273626462952883,0.5466231342489176
2021-10-01,0.48667716761205976,0.4627254740659503,0.9844081846207267,0.2654587127303613,0.8953103269996705,0.5852217849245964,0.6907890170624862,0.6034406098530983,0.5464583607127711
2021-11-01,0.42654226524640504,0.3922418670815054,0.9851964546484702,0.26546348476782494,0.8728233086037682,0.6114216434846149,0.6098561738746746,0.517930724759262,0.5467721755724508
2021-12-01,0.4944846659335155,0.49998770402908566,0.978541727676048,0.26545967333146864,0.9216830405036307,0.6504913287798757,0.6197611593705422,0.6503790004847494,0.5467077237093025
2022-01-01,0.5010236599031783,0.5464306754117949,0.9840615352150182,0.26546271758116396,0.9369627050974008,0.6396981311376491,0.6860468727970497,0.61746270552056,0.5465467004852712
2022-02-01,0.5139038573510284,0.5058695243320097,0.981655189795305,0.26546028610419536,0.9117180960240987,0.6774723142651287,0.686171139216331,0.7244749924539998,0.5467371776852171
2022-03-01,0.5330357364885236,0.607361128099301,0.9743435729285284,0.2654622281529663,0.9398610178726972,0.6190666971533111,0.7334121519737542,0.7198458031747,0.5467015907159076
2022-04-01,0.5481746188001515,0.6937278014722528,0.9738837237981924,0.265460677014804,0.9811294188250665,0.6030186695410684,0.7772670928738353,0.7271599163392575,0.5466301776999114
2022-05-01,0.5405910381007186,0.7381042967689833,0.979776453212144,0.26546191592656776,0.9889586182938659,0.4762275286950154,0.8808752072174133,0.7267622399010081,0.5465028479866758
2022-06-01,0.5070312134457944,0.6921608808334354,0.9801414528248178,0.2654609263926409,0.9857142671544373,0.4422684667126944,0.9384721194250674,0.7111934930371606,0.5465257843405995
2022-07-01,0.4809691593958682,0.6070669393831916,0.976506723982244,0.26546171674480795,0.9527955267609165,0.4290736728525062,0.8587704388151461,0.6515992344308101,0.5466123283028593
2022-08-01,0.5291831735312766,0.5995430786327713,0.9809279350450175,0.26546108548099234,0.9564162410095058,0.5504367832622885,0.8307447671843365,0.6518879333878841,0.5467334571266733
2022-09-01,0.5526199442098249,0.5632230518188177,0.9837153887420561,0.26546158967875166,0.9540281644555868,0.5743630651579952,0.873906064547308,0.6715203957641425,0.5466627410794876
2022-10-01,0.4765290047922895,0.42986412632829796,0.9845651572044585,0.26546118696995813,0.9180839422713152,0.6387501718406389,0.7400715178836288,0.6467346115715743,0.5466462244521028
2022-11-01,0.4429450149879719,0.36740930766452223,0.9853616224732341,0.26546150861818785,0.8925564982697112,0.6943296904836178,0.6650716416959913,0.5576868706632307,0.5466776807353764
2022-12-01,0.470489985715583,0.4901472360919999,0.9787178555241729,0.2654612517139093,0.937427099545847,0.7284483737652132,0.642597055931282,0.6959955836344769,0.546671220187421
2023-01-01,0.43631775392305594,0.5162606898018511,0.9842234866965833,0.2654614569063766,0.9307334620271558,0.6651106170407648,0.6954672149118695,0.658357758418403,0.5466550794857992
2023-02-01,0.4798587298379329,0.5129811216916981,0.9818080152739015,0.2654612930167121,0.9253146577884132,0.7491156510433834,0.7025023272808073,0.7570619968284371,0.5466741726047584
2023-03-01,0.5055721066620367,0.6205929952659802,0.9744780944039028,0.26546142391731836,0.9541508403092462,0.6852298261569576,0.7582983504052404,0.7744666725158882,0.5466706054260451
2023-04-01,0.493992430539404,0.6896728044223391,0.9740204175042072,0.2654613193654499,0.9838784840860402,0.6583788204792506,0.7909432423606205,0.7686291903973177,0.5466634471036192
2023-05-01,0.47200403403768465,0.7295416950160961,0.9799188839834289,0.26546140287226117,0.9906681052894035,0.520778465286976,0.9023429211467562,0.7671819378060358,0.5466506837841467
2023-06-01,0.4556231150748325,0.6851639516560646,0.9802782619158046,0.2654613361743808,0.9885947404844475,0.5097532972352163,0.9741276579475736,0.7588953747616867,0.5466529828862714
2023-07-01,0.4440185245464567,0.620069719387871,0.9766478695614904,0.2654613894467658,0.9584797583569726,0.4930309799868845,0.9010316811905805,0.6950764352722525,0.5466616579096345
2023-08-01,0.5170655407651572,0.629076622970247,0.9810668029234896,0.2654613468974807,0.9651229504268477,0.6191391124835548,0.8549606169892403,0.6935103317100948,0.5466737996621984
2023-09-01,0.5290098265463876,0.5967478047021411,0.9838558638288905,0.26546138088209764,0.9557932815871111,0.6296087808036377,0.9012501941551436,0.7155119494976617,0.5466667112028164
2023-10-01,0.4846011472027674,0.451244718378203,0.9847052044637258,0.2654613537381816,0.9174737560862838,0.6901121689124865,0.7629429640455909,0.6881691449133666,0.5466650556034595
2023-11-01,0.4298205273900759,0.38356612590241673,0.9855014247627814,0.26546137541834836,0.8940480018175002,0.7262618287609507,0.685000678802323,0.5917101739550659,0.5466682087291664
2023-12-01,0.48951985574041157,0.4965497437500145,0.9788561771201912,0.26546135810214244,0.941676083776289,0.7636547932883209,0.6785844907485334,0.7399401085278873,0.5466675611345452
2024-01-01,0.48716370067546955,0.5358901998154784,0.9843632619168974,0.2654613719328009,0.9501714590587387,0.7350667021660191,0.7381079901044882,0.7005440609771046,0.5466659432173625
2024-02-01,0.5068070810109978,0.5083541002078412,0.9819478359398661,0.2654613608860903,0.9310480963570116,0.7884975599556463,0.7417157219227268,0.8122932189662279,0.5466678570799667
2024-03-01,0.5273462320241192,0.6119839401472504,0.9746176352849193,0.2654613697092288,0.9594050634567302,0.7282359997109682,0.7932689538814304,0.819518687006182,0.5466674995118838
2024-04-01,0.5367219507606233,0.6923111088029111,0.9741597933569572,0.26546136266208364,0.9971102386749757,0.7085294040699841,0.8314733828320411,0.8192301585737312,0.5466667819735063
2024-05-01,0.5259143831385877,0.7351127840787173,0.9800588852855527,0.2654613682907218,1,0.5780775831981776,0.9390088955487146,0.8175756375298288,0.5466655025995132
2024-06-01,0.4961528954838047,0.6897163665338021,0.9804185671778681,0.2654613637950619,1,0.551885380557831,1,0.8042331506627366,0.5466657330577002
2024-07-01,0.4732322487541823,0.6116097153425689,0.9767874395905065,0.2654613673857987,0.969682583529252,0.5374959453487209,0.927385266125937,0.7361746852876081,0.5466666026276662
