Datetime,GB,BE,NO,FR,NL,DK,IE,DE,NIR
2021-01-01,218.60099907403506,233.2466685333907,11.303467065741607,51.51378658999882,333.8775982129888,198.5253898148959,240.46545241890246,281.71050577074374,222.6542773
2021-02-01,212.65977305435473,233.94168765616158,11.302461666002092,51.09973252193264,336.6267041226474,179.60257405706528,226.92362131967752,292.8408431135959,222.6542773
2021-03-01,210.12451061837757,175.39013533342276,11.352044027419844,35.03952559118448,336.35258727475644,158.488178583222,255.9124351966167,253.46498040217026,222.6542773
2021-04-01,195.79424229407596,139.55272401768886,11.300003193288887,22.917083362029235,339.92462873432976,162.7019579306513,268.67661380083075,259.02274754970847,222.6542773
2021-05-01,192.62459247573616,117.75592760840671,11.289128646351703,19.65013547417022,340.51439604544106,89.38511947985366,294.74984228205665,255.83180395704431,222.6542773
2021-06-01,194.12954306195874,131.91818272045452,11.286830204139893,20.783926554968627,340.29134927599443,48.83719277385814,292.7491246372181,247.2785999456479,222.6542773
2021-07-01,195.92357149171977,159.41226855591367,11.279657163531484,35.25583286511021,340.43071106963714,62.46160460469112,296.06102330933703,267.6164155237758,222.6542773
2021-08-01,170.93539212600177,150.68315839722825,11.278098517644255,29.919732062628164,340.0868216735146,101.47907345387314,255.3802677778019,261.2674928597464,222.6542773
2021-09-01,169.10482228091055,169.40594168775004,11.271899354465672,35.59367183776939,340.1375575930016,69.68560809750666,240.9276032752125,263.83860311835343,222.6542773
2021-10-01,172.16674837935759,251.7537985757786,11.279633763215676,66.5351502108387,340.91566765565676,95.5969057423021,218.56229361138196,253.69742572493857,222.6542773
2021-11-01,190.15026894633357,289.6944221858506,11.275871768852074,78.58312067292252,341.29923216970417,99.72695314294538,219.8463802640163,275.7489065359483,222.6542773
2021-12-01,184.44473229865557,242.81864296238243,11.273064690602945,50.681932080634596,341.00521610840553,139.08787382024065,191.95510207806458,240.37125485246324,222.6542773
2022-01-01,185.42558075250156,213.6043119595809,11.275212716370133,42.76554589343207,340.494652025729,150.27537339750756,197.87245285355198,251.9914358578904,222.6542773
2022-02-01,193.150277785851,242.2315379843813,11.27528712631764,56.91607281038188,340.2178880657671,152.43604246069194,184.7860122104337,261.8878231813003,222.6542773
2022-03-01,192.55269813871178,185.4128506565953,11.271612827641368,41.040360586529594,340.2453728420891,162.07241842437156,212.7580795657675,226.57292237877684,222.6542773
2022-04-01,174.75477511019923,137.76369705678368,11.275469363565682,20.621272614683523,339.8891317492735,150.37067529499456,225.06297593895638,231.57102233503176,222.6542773
2022-05-01,172.13886023718263,111.07464708776986,11.276275247697455,16.713824228198067,339.8307099387847,78.29047730591842,250.2147934118289,228.7228062551415,222.6542773
2022-06-01,171.1542162320911,127.78468788874693,11.27644558647098,19.40389180905801,339.8527916609522,56.87377367402628,248.3019825332855,221.018705907064,222.6542773
2022-07-01,169.97653786342445,170.24034797784932,11.276977148478162,35.999263181123695,339.8389929219181,86.53173387273594,251.52002954462924,239.19635151373038,222.6542773
2022-08-01,152.11546456282395,171.3003111157446,11.277092659336475,32.78220015430856,339.8730539648722,69.62186707480876,212.20847151176557,233.52559226659085,222.6542773
2022-09-01,152.76892071569378,196.36170176704186,11.277552058538994,33.52263414744806,339.86802636932214,55.450947557744264,198.29548521530376,235.79829750963185,222.6542773
2022-10-01,154.75450458661737,272.15673093201156,11.276978885581924,59.75437766663903,339.79102388418005,76.47450920748116,176.82838204357378,226.72360304949189,222.6542773
2022-11-01,173.17817334010007,302.7039969578037,11.277257675799875,71.56407435861274,339.75313704071823,85.06517218924853,178.0545584330708,246.43304642086204,222.6542773
2022-12-01,169.58632475313422,249.1108818885106,11.277465698876213,46.26849701944605,339.78217448444855,133.73121047191626,151.38055302478364,214.80563294414756,222.6542773
2023-01-01,170.23204508784417,225.29945294552041,11.277306515692976,48.38566835037574,339.8326639634137,139.694383650601,157.03019905520625,225.18128416236746,222.6542773
2023-02-01,174.8536188119119,237.17398243127172,11.2773010014718,52.98790199292529,339.8600678339213,130.33289150936685,144.55213493610458,234.02328569548786,222.6542773
2023-03-01,175.38030478695654,179.2733443027815,11.277573291871501,36.954421354184234,339.8573453244866,120.92722553999175,171.26188026828447,202.46166846226794,222.6542773
2023-04-01,159.7201355997958,138.8449792533403,11.277287496418559,22.11711914642323,339.89265160215416,120.80703323204526,183.05759918560216,206.92224181072606,222.6542773
2023-05-01,156.7340170875271,115.0764023842542,11.277227774917266,18.60828861642623,339.89844554237567,65.41628243636954,207.23706648728427,204.37539520807204,222.6542773
2023-06-01,156.5848109597745,130.27360146220283,11.277215151652506,20.308789848390948,339.89625547507603,38.58977449477584,205.39454660015787,197.48910923608182,222.6542773
2023-07-01,156.1746063084925,163.59445205268477,11.277175759305985,35.50433714914767,339.8976240169908,51.716633979000214,208.49351872582713,213.72822599069622,222.6542773
2023-08-01,138.00504239091825,158.49347423940583,11.277167199161628,30.854171838490696,339.8942459954556,69.54168073445065,170.73654276409562,208.65934434412884,222.6542773
2023-09-01,137.27720727948807,179.55566395444234,11.27713315456234,34.882666577020395,339.8947445864328,49.69873792193832,157.4327910700183,210.688627526513,222.6542773
2023-10-01,139.523368223208,259.60454602784193,11.277175630571515,64.17094661567367,339.90238200224763,68.27584276480438,136.9822419688201,202.5783630792909,222.6542773
2023-11-01,155.3301852839053,294.75288059683965,11.27715497032216,76.14686512280214,339.9061404698951,72.46637540425432,138.14767068137368,220.18733205641917,222.6542773
2023-12-01,151.48394589888264,245.27897453343365,11.27713955439995,49.15128521249713,339.9032598431396,104.37853060031973,112.88846906162209,191.92737660999688,222.6542773
